COMM,CODE,SPEC,COMM_FR,STACAC_CODE
ORANGE FILEFISH,1,ALUTERUS SCHOEPFI,Alutäre orange,
FILEFISH;SCRAWLED,2,ALUTERUS SCRIPTUS,Alutäre Çcrit,
GRAY TRIGGERFISH,3,BALISTES CAPRISCUS,Baliste gris,
QUEEN TRIGGERFISH,4,BALISTES VETULA,Baliste vieille,
FRINGED FILEFISH,5,MONACANTHUS CILIATUS,Lime frangÇe,
PLANEHEAD FILEFISH,6,STEPHANOLEPIS HISPIDUS,Lime Ö grande tàte,
NORTHERN KINGFISH,7,MENTICIRRHUS SAXATILIS,Menticirrhus saxatilis,
BOTHUS SP.,8,BOTHUS SP.,Bothus sp.,
SILVER ANCHOVY,9,ENGRAULIS EURYSTOLE,Engraulis eurystole,
COD(ATLANTIC),10,GADUS MORHUA,Morue franche,100
HADDOCK,11,MELANOGRAMMUS AEGLEFINUS,Aiglefin,110
WHITE HAKE,12,UROPHYCIS TENUIS,Merluche blanche,171
SQUIRREL OR RED HAKE,13,UROPHYCIS CHUSS,Merluche-Çcureuil,
SILVER HAKE,14,MERLUCCIUS BILINEARIS,Merlu argentÇ,172
CUSK,15,BROSME BROSME,Brosme,
POLLOCK,16,POLLACHIUS VIRENS,Goberge,
TOMCOD(ATLANTIC),17,MICROGADUS TOMCOD,Poulamon atlantique,
GADIFORMES,18,GADIFORMES,Merlus,
OFF-SHORE HAKE,19,MERLUCCIUS ALBIDUS,Merlu blanc,
REDFISH,20,SEBASTES MARINUS,SÇbaste atlantique,
REDFISH; DEEP WATER,21,SEBASTES MENTELLA,SÇbaste de profondeur,
BONAPARTIA PEDIOLOTA,22,BONAPARTIA PEDIOLOTA,Bonapartia pediolota,
REDFISH UNSEPARATED,23,SEBASTES SP.,SÇbaste non spÇcifiÇ,120
STRIPED BASS,24,MORONE SAXATILIS,Bar d'AmÇrique,
TILE FISH,25,LOPHOLATILUS CHAMAELEONTICEPS,Tile,
SMOOTHHEAD SCORPIONFISH,26,SCORPAENA CALCARATA,Scorpaena calcarata,
ESCOLAR,27,LEPIDOCYBIUM FLAVOBRUNNEUM,Escolar,
NEALOTUS TRIPES,28,NEALOTUS TRIPES,Coelho tripode,
OILFISH,29,RUVETTUS PRETIOSUS,Rouvet,
HALIBUT(ATLANTIC),30,HIPPOGLOSSUS HIPPOGLOSSUS,FlÇtan Atlantique,130
TURBOT;GREENLAND HALIBUT,31,REINHARDTIUS HIPPOGLOSSOIDES,FlÇtan du Groenland,
WHITE MARLIN,32,TETRAPTERUS ALBIDUS,Makaire blanc,
BLUE MARLIN,33,MAKAIRA NIGRICANS,Makaire bleu,
ANCHOVIES,34,ENGRAULIDAE F.,Anchois,
HAKE,35,MERLUCCIUS SP.,Merlus,
WRASSES,36,LABRIDAE F.,Labres,
PEARLFISH;CHAIN,37,ECHIODON DAWSONI,Aurin chaine,
SWALLOWERS,38,PSEUDOSCOPELUS SP.,Pseudoscopelus sp.,
BLACK SWALLOWER,39,CHIASMODON NIGER,Grand avaleur,
AMERICAN PLAICE,40,HIPPOGLOSSOIDES PLATESSOIDES,Plie canadienne,140
WITCH FLOUNDER,41,GLYPTOCEPHALUS CYNOGLOSSUS,Plie grise,143
YELLOWTAIL FLOUNDER,42,LIMANDA FERRUGINEA,Limande Ö queue jaune,141
WINTER FLOUNDER,43,PSEUDOPLEURONECTES AMERICANUS,Plie rouge,143
GULF STREAM FLOUNDER,44,CITHARICHTHYS ARCTIFRONS,Turbot du Gulf Stream,
EYED FLOUNDER,45,BOTHUS OCELLATUS,Turbot oculÇ,
NORTHERN SENNET,46,SPHYRAENA BOREALIS,Sphyraena borealis,
WHITE MULLET,47,MUGIL CUREMA,Mugil curema,
STRIPED MULLET,48,MUGIL CEPHALUS,Muge cabot,
FLOUNDER UNIDENTIFIED,49,PLEURONECTIDAE F.,Plies,
STRIPED ATLANTIC WOLFFISH,50,ANARHICHAS LUPUS,Loup atlantique,
SPOTTED WOLFFISH,51,ANARHICHAS MINOR,Loup tachetÇ,
NORTHERN WOLFFISH,52,ANARHICHAS DENTICULATUS,Loup Ö tàte large,
TAUTOG,53,TAUTOGA ONITIS,Tautogue noir,
SERGEANT MAJOR,54,ABUDEFDUF SAXATILIS,Abudefduf saxatilis,
EUROPEAN LING,55,MOLVA MOLVA,Julienne,
BLUE LING,56,MOLVA DYPTERYGIA,Lingue bleue,
PHYCINAE S.F.,57,PHYCINAE S.F.,Phycinae s.f.,
STRIPED ANCHOVY,58,ANCHOA HEPSETUS,Pitiquinga,
